"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10,C6,C8,C9,C4,C1";"CP_Radial_D5.0mm_P2.50mm";6;"47u";;;
2;"J10";"PinHeader_1x05_P2.54mm_Horizontal";1;"EXTENSION PORT";;;
3;"SW1,SW4,SW3,SW2";"SW_PUSH_6mm_H13mm";4;"SW_Push";;;
4;"J1";"Kycon_KLPX-0848A-2-x";1;"SOLENOID_A";;;
5;"J4";"Kycon_KLPX-0848A-2-x";1;"SOLENOID_B";;;
6;"C7";"CP_Radial_D5.0mm_P2.50mm";1;"0.1u";;;
7;"R16,R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1.47K";;;
8;"R14,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1";;;
9;"R12,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1.96K";;;
10;"Q6,Q5";"SOT-23";2;"BSS138";;;
11;"U3";"WC1602A";1;"20x4_LCD";;;
12;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
13;"Q4,Q2";"SOT-23";2;"MMBT3904";;;
14;"R1,R4,R3,R2,R6,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"4.7K";;;
15;"D1,D2,D3";"D_SOD-123";3;"1N4007";;;
16;"Q1,Q3";"TO-220-3_Vertical";2;"IRF4905";;;
17;"J6";"PinHeader_1x04_P2.54mm_Horizontal";1;"STEPPER";;;
18;"J7";"PinHeader_1x05_P2.54mm_Horizontal";1;"PRESSURE_SENSOR";;;
19;"RV2,RV1";"Potentiometer_Bourns_3386P_Vertical";2;"10K";;;
20;"J5";"BarrelJack_Horizontal";1;"POWER";;;
21;"U2";"DIP-8_W7.62mm_LongPads";1;"LM386";;;
22;"U1";"TO-220-3_Vertical";1;"L7805";;;
23;"R11,R10,R9,R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10";;;
24;"J9";"PinHeader_1x02_P2.54mm_Horizontal";1;"SPEAKER";;;
25;"J8";"PinSocket_1x14_P2.54mm_Vertical";1;"TFT_DISPLAY";;;
26;"C5,C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"0.1u";;;
27;"A2";"Pololu_Breakout-16_15.2x20.3mm";1;"A4988";;;
